group,z_score
Healthiness of Food,0.0000
Healthiness of Food,0.6745
Healthiness of Food,0.3319
Healthiness of Food,0.3319
Healthiness of Food,0.0000
Healthiness of Food,-0.3055
Healthiness of Food,0.6745
Healthiness of Food,0.4959
Sustainability of Guest Food Choices,-0.6745
Sustainability of Guest Food Choices,0.0000
Sustainability of Guest Food Choices,-0.1510
Sustainability of Guest Food Choices,0.6745
Sustainability of Guest Food Choices,0.0000
Sustainability of Guest Food Choices,-0.8779
Sustainability of Guest Food Choices,0.6745
Sustainability of Guest Food Choices,0.4959
Institutional Sustainability,-0.3055
Institutional Sustainability,0.1510
Institutional Sustainability,0.0000
Institutional Sustainability,0.1510
Institutional Sustainability,-0.4959
Institutional Sustainability,-0.6745
Institutional Sustainability,0.1510
Institutional Sustainability,0.0000
Campus Food Prices,-0.3055
Campus Food Prices,-0.6745
Campus Food Prices,-0.1510
Campus Food Prices,0.0000
Campus Food Prices,-0.6745
Campus Food Prices,-0.6745
Campus Food Prices,0.3319
Campus Food Prices,0.0000
Operational and Procurement Costs,0.0000
Operational and Procurement Costs,0.0000
Operational and Procurement Costs,0.4959
Operational and Procurement Costs,0.6745
Operational and Procurement Costs,0.0000
Operational and Procurement Costs,-0.6745
Operational and Procurement Costs,0.6745
Operational and Procurement Costs,0.4959
Guest Dining Experiences,0.3319
Guest Dining Experiences,0.8779
Guest Dining Experiences,0.6745
Guest Dining Experiences,0.6745
Guest Dining Experiences,0.6745
Guest Dining Experiences,0.0000
Guest Dining Experiences,0.8779
Guest Dining Experiences,0.8779
Worker Satisfaction,-0.6745
Worker Satisfaction,-0.6745
Worker Satisfaction,-0.1510
Worker Satisfaction,-0.3055
Worker Satisfaction,-0.6745
Worker Satisfaction,-0.8779
Worker Satisfaction,0.0000
Worker Satisfaction,-0.1510
Campus Culture,-0.4959
Campus Culture,-0.4959
Campus Culture,0.0000
Campus Culture,0.0000
Campus Culture,-0.4959
Campus Culture,-0.8779
Campus Culture,0.1510
Campus Culture,0.0000
