"","date","completion","channel","consent","involvement","involvement_other","stakeholder_type","stakeholder_type_other","title","role_duration","dietary_health_ranking","dietary_sustainability_ranking","institutional_sustainability_ranking","food_pricing_ranking","operational_costs_ranking","guest_satisfaction_ranking","worker_satisfaction_ranking","campus_culture_ranking","id","dietary_health_score","dietary_sustainability_score","institutional_sustainability_score","food_pricing_score","operational_costs_score","guest_satisfaction_score","worker_satisfaction_score","campus_culture_score"
"1","2024-10-02 12:42:10","100","qr","I wish to participate","I consult on best practices","","Nutrition specialist","","","2",2,3,7,5,6,1,6,8,1,7,6,3,4,3,8,3,1
"2","2024-10-02 12:42:13","100","qr","I wish to participate","I consult on best practices","","Sustainability coordinator","","Sustainability Manager ","1",2,3,1,8,5,4,5,6,2,7,6,9,1,4,5,4,3
"3","2024-10-02 12:42:20","100","qr","I wish to participate","Other (please specify):","Collaboration and influence with corporate stakeholders on food loss and waste  ","Other (please specify):","NGO employee","Associate Program Specialist","2",3,4,8,2,7,6,7,1,3,6,5,2,7,2,3,2,8
"4","2024-10-02 12:42:26","100","qr","I wish to participate","I am a primary decision maker","","Dining director","","Director","1",2,5,6,4,7,1,7,8,4,7,4,4,5,2,8,2,1
"5","2024-10-02 12:42:29","100","qr","I wish to participate","I am a primary decision maker","","Dining director","","Director of Dining","11",8,5,7,1,2,4,2,6,5,1,4,3,8,7,5,7,3
"6","2024-10-02 12:42:32","100","qr","I wish to participate","I am a primary decision maker","","Chef","","Campus Executive Chef","3",8,3,6,2,7,4,7,5,6,1,6,4,7,2,5,2,4
"7","2024-10-02 12:42:37","100","qr","I wish to participate","I am a primary decision maker","","Dining director","","Director of Dining","1",1,2,3,5,6,4,6,7,7,8,7,7,4,3,5,3,2
"8","2024-10-02 12:42:41","100","qr","I wish to participate","I consult on best practices","","Sustainability coordinator","","Sustainability Director ","5.5 years",6,5,4,8,1,2,1,7,8,3,4,6,1,8,7,8,2
"9","2024-10-02 12:42:51","100","qr","I wish to participate","I consult on best practices","","Nutrition specialist","","Dietitian","3",2,5,7,8,6,1,6,3,9,7,4,3,1,3,8,3,6
"10","2024-10-02 12:42:54","100","qr","I wish to participate","I am a primary decision maker","","Dining director","","Senior Director of Dining Services","32",4,2,1,7,6,5,6,8,10,5,7,9,2,3,4,3,1
"11","2024-10-02 12:42:57","100","qr","I wish to participate","I consult on best practices","","Other (please specify):","Advisor ","","1",7,3,8,5,6,1,6,4,11,2,6,2,4,3,8,3,5
"12","2024-10-02 12:42:58","100","qr","I wish to participate","I am a primary decision maker","","Chef","","Senior associate Director culinary strategies and plant forward experience ","3",1,6,8,4,2,5,2,3,12,8,3,2,5,7,4,7,6
"13","2024-10-02 12:43:05","100","qr","I wish to participate","I consult on best practices","","Nutrition specialist","","Nutrition Systems Manager","12",6,7,5,3,8,4,8,1,13,3,2,5,6,1,5,1,8
"14","2024-10-02 12:43:06","100","qr","I wish to participate","I am a primary decision maker","","University administrator","","Assistant Vice President ","2",1,8,5,6,3,2,3,4,14,8,1,5,3,6,7,6,5
"15","2024-10-02 12:43:09","100","qr","I wish to participate","I consult on best practices","","Sustainability coordinator","","Sustainability Manager","3",4,5,1,6,8,3,8,7,15,5,4,9,3,1,6,1,2
"16","2024-10-02 12:43:11","100","qr","I wish to participate","I consult on best practices","","Chef","","Executive chef","3",6,4,8,2,7,1,7,5,16,3,5,2,7,2,8,2,4
"17","2024-10-02 12:43:16","100","qr","I wish to participate","I consult on best practices","","University administrator","","AVP","20 years",3,6,8,1,2,4,2,5,17,6,3,2,8,7,5,7,4
"18","2024-10-02 12:43:18","100","qr","I wish to participate","I am a primary decision maker","","University administrator","","Associate Vice Chancellor ","4",4,8,7,3,6,2,6,1,18,5,1,3,6,3,7,3,8
"19","2024-10-02 12:43:20","100","qr","I wish to participate","I consult on best practices","","Other (please specify):","Dining management ","Director of Culinary development and nutrition","2",1,4,8,6,3,2,3,7,19,8,5,2,3,6,7,6,2
"20","2024-10-02 12:43:21","100","qr","I wish to participate","I offer feedback on existing services","","Chef","","Sous Chef/s","1",5,6,4,8,3,1,3,2,20,4,3,6,1,6,8,6,7
