group,z_score
Healthiness of Food Offerings,0
Healthiness of Food Offerings,0.4959
Healthiness of Food Offerings,0.2275
Healthiness of Food Offerings,0.2275
Healthiness of Food Offerings,0.4959
Healthiness of Food Offerings,-0.3055
Healthiness of Food Offerings,0.5828
Healthiness of Food Offerings,0.4125
Sustainability of Guest Food Choices,-0.4959
Sustainability of Guest Food Choices,0
Sustainability of Guest Food Choices,0.0753
Sustainability of Guest Food Choices,0.0753
Sustainability of Guest Food Choices,0.2275
Sustainability of Guest Food Choices,-0.6745
Sustainability of Guest Food Choices,0.3319
Sustainability of Guest Food Choices,0.4125
Institutional Sustainability,-0.2275
Institutional Sustainability,-0.0753
Institutional Sustainability,0
Institutional Sustainability,-0.0753
Institutional Sustainability,-0.0753
Institutional Sustainability,-0.7722
Institutional Sustainability,0
Institutional Sustainability,-0.0753
Campus Food Prices,-0.2275
Campus Food Prices,-0.0753
Campus Food Prices,-0.0753
Campus Food Prices,0
Campus Food Prices,0.2275
Campus Food Prices,-0.4959
Campus Food Prices,0.3319
Campus Food Prices,0.151
Operational and Procurement Costs,-0.4959
Operational and Procurement Costs,-0.2275
Operational and Procurement Costs,0.0753
Operational and Procurement Costs,-0.2275
Operational and Procurement Costs,0
Operational and Procurement Costs,-0.7722
Operational and Procurement Costs,0.4125
Operational and Procurement Costs,0
Guest Dining Experiences,0.3319
Guest Dining Experiences,0.6745
Guest Dining Experiences,0.7722
Guest Dining Experiences,0.4959
Guest Dining Experiences,0.7722
Guest Dining Experiences,0
Guest Dining Experiences,0.7722
Guest Dining Experiences,0.7722
Worker Satisfaction,-0.5828
Worker Satisfaction,-0.3055
Worker Satisfaction,0
Worker Satisfaction,-0.3055
Worker Satisfaction,-0.4125
Worker Satisfaction,-0.7722
Worker Satisfaction,0
Worker Satisfaction,0
Campus Culture,-0.4125
Campus Culture,-0.4125
Campus Culture,0.0753
Campus Culture,-0.151
Campus Culture,0
Campus Culture,-0.7722
Campus Culture,0
Campus Culture,0
