group,z_score
Healthiness of Food,0.0000
Healthiness of Food,0.0000
Healthiness of Food,0.0000
Healthiness of Food,0.2019
Healthiness of Food,0.0000
Healthiness of Food,-0.4399
Healthiness of Food,0.4399
Healthiness of Food,0.4399
Sustainability of Guest Food Choices,0.0000
Sustainability of Guest Food Choices,0.0000
Sustainability of Guest Food Choices,0.2019
Sustainability of Guest Food Choices,-0.4399
Sustainability of Guest Food Choices,-0.4399
Sustainability of Guest Food Choices,-0.4399
Sustainability of Guest Food Choices,0.0000
Sustainability of Guest Food Choices,0.4399
Institutional Sustainability,0.0000
Institutional Sustainability,-0.2019
Institutional Sustainability,0.0000
Institutional Sustainability,-0.2019
Institutional Sustainability,-0.4399
Institutional Sustainability,-0.6745
Institutional Sustainability,0.0000
Institutional Sustainability,0.0000
Campus Food Prices,-0.2019
Campus Food Prices,0.4399
Campus Food Prices,0.2019
Campus Food Prices,0.0000
Campus Food Prices,-0.2019
Campus Food Prices,-0.4399
Campus Food Prices,0.2019
Campus Food Prices,0.4399
Operational and Procurement Costs,0.0000
Operational and Procurement Costs,0.4399
Operational and Procurement Costs,0.4399
Operational and Procurement Costs,0.2019
Operational and Procurement Costs,0.0000
Operational and Procurement Costs,-0.2019
Operational and Procurement Costs,0.0000
Operational and Procurement Costs,0.2019
Guest Dining Experiences,0.4399
Guest Dining Experiences,0.4399
Guest Dining Experiences,0.6745
Guest Dining Experiences,0.4399
Guest Dining Experiences,0.2019
Guest Dining Experiences,0.0000
Guest Dining Experiences,0.4399
Guest Dining Experiences,0.6745
Worker Satisfaction,-0.4399
Worker Satisfaction,0.0000
Worker Satisfaction,0.0000
Worker Satisfaction,-0.2019
Worker Satisfaction,0.0000
Worker Satisfaction,-0.4399
Worker Satisfaction,0.0000
Worker Satisfaction,0.4399
Campus Culture,-0.4399
Campus Culture,-0.4399
Campus Culture,0.0000
Campus Culture,-0.4399
Campus Culture,-0.2019
Campus Culture,-0.6745
Campus Culture,-0.4399
Campus Culture,0.0000
