Study No.,DOI,Study,Publication Year,Article Title,Journal Information,Country_2,Participating Institutions,State (If in USA)
116,https://doi.org/10.1016/j.jneb.2014.03.005,"(O'Donnell et al., 2014)",2014,"""The effect of goal setting on fruit and vegetable consumption and physical activity level in a Web-based intervention""",Journal of Nutrition Education and Behavior,USA,8,"Maine, Michigan, Pennsylvania, Rhode Island, South Dakota, New York, Alabama, Wisconsin"
115,https://doi.org/10.1080/07448481.2020.1721506,"(Clerkin et al., 2021)",2021,"""Influencing nutritional habits of college students using a food pantry""",Journal of American College Health,USA,1,Illinois
114,https://doi.org/10.1016/j.focus.2023.100064,"(Almousa & Contento, 2023)",2023,"""Pilot Study of the Feasibility of a Worksite Plant-Based Diabetes Prevention Program""",AJPM Focus,USA,1,New York
113,https://doi.org/10.1080/07448481.2020.1848847,"(Alexis et al., 2022)",2022,"""Implementation of a food scholarship program improves nutrient intake and dietary quality of college students""",Journal of American College Health,USA,1,Texas
112,https://doi.org/10.1016/j.jenvp.2021.101589,"(Garnett et al., 2021)",2021,"""Price of change: Does a small alteration to the price of meat and vegetarian options affect their sales?""",Journal of Environmental Psychology,UK,1,NA
111,https://doi.org/10.1016/j.jada.2006.06.005,"(Richard et al., 2006)",2006,"""Motivating 18- to 24-year-olds to increase their fruit and vegetable consumption""",Journal of the American Dietetic Association,USA,1,South Dakota
110,https://doi.org/10.1186/s40795-023-00764-3,"(Marcone et al., 2023)",2023,"""Effects of an educational planetary plate graphic on meat consumption in a Stanford University dining hall: a randomized controlled trial""",BMC Nutrition,USA,1,California
109,https://doi.org/10.1080/08870446.2015.1050393,"(Boucher et al., 2015)",2015,"""Effect of an intervention mapping approach to promote the consumption of fruits and vegetables among young adults in junior college: A quasi-experimental study""",Psychology & Health,Canada,1,NA
108,https://doi.org/10.1016/j.appet.2021.105662,"(Cesareo et al., 2022)",2022,"""The effectiveness of nudging interventions to promote healthy eating choices: A systematic review and an intervention among Italian university students""",Appetite,Italy,1,NA
107,https://doi.org/10.1177/0956797619872191,"(Turnwald et al., 2019)",2019,"""Increasing Vegetable Intake by Emphasizing Tasty and Enjoyable Attributes: A Randomized Controlled Multisite Intervention for Taste-Focused Labeling""",Psychological Science,USA,5,California; New Jersey; California; Texas; Massachussetts
106,https://doi.org/10.1016/j.cognition.2020.104397,"(Schwitzgebel et al., 2020)",2020,"""Do ethics classes influence student behavior? Case study: Teaching the ethics of eating meat""",Cognition,USA,1,California
105,https://doi.org/10.1079/bjn20051476,"(Papadaki & Scott, 2005)",2005,"""The Mediterranean eating in Scotland experience project: evaluation of an Internet-based intervention promoting the Mediterranean diet""",British Journal of Nutrition,UK,1,NA
104,https://doi.org/10.1016/j.jneb.2017.02.003,"(Scourboutakos et al., 2017)",2017,"""Testing a Beverage and Fruit/Vegetable Education Intervention in a University Dining Hall""",Journal of Nutrition Educatino and Behavior,Canada,1,NA
103,https://doi.org/10.1080%2F07448481.2012.755189,"(McClain et al., 2013)",2013,"""Incorporating prototyping and iteration into intervention development: a case study of a dining hall-based intervention""",Journal of American College Health,USA,1,California
102,https://doi.org/10.1016/j.appet.2022.105978,"(Yi et al., 2022)",2022,"""Nudging food service users to choose fruit- and vegetable-rich items: Five field studies""",Appetite,Canada,1,NA
101,https://doi.org/10.1016/j.appet.2022.105978,"(Yi et al., 2022)",2022,"""Nudging food service users to choose fruit- and vegetable-rich items: Five field studies""",Appetite,Canada,1,NA
100,https://doi.org/10.1016/j.appet.2022.105978,"(Yi et al., 2022)",2022,"""Nudging food service users to choose fruit- and vegetable-rich items: Five field studies""",Appetite,Canada,1,NA
99,https://doi.org/10.1016/j.appet.2022.105978,"(Yi et al., 2022)",2022,"""Nudging food service users to choose fruit- and vegetable-rich items: Five field studies""",Appetite,Canada,1,NA
98,https://doi.org/10.1016/j.appet.2022.105978,"(Yi et al., 2022)",2022,"""Nudging food service users to choose fruit- and vegetable-rich items: Five field studies""",Appetite,Canada,1,NA
97,https://doi.org/10.1093%2Fpubmed%2Ffdv147,"(Appleton, 2016)",2016,"""Greater fruit selection following an appearance-based compared with a health-based health promotion poster""",Journal of Public Health,UK,1,NA
96,https://doi.org/10.1007/s13412-023-00882-1,"(Null et al., 2024)",2024,"""Beyond the classroom: Influence of a sustainability intervention on university students’ environmental knowledge and behaviors""",Journal of Environmental Studies and Sciences,USA,1,Illinois
95,https://doi.org/10.3148/cjdpr-2015-008,"(Strawson et al., 2015)",2015,"""Changing Dietary Habits of Alberta Nutrition Students Enrolled in a Travel Study Program in Italy""",Canadian Journal of Dietetic Practice and Research,Canada,1,NA
94,https://doi.org/10.1016/j.appet.2015.07.007,"(Kenzierski et al., 2015a)",2015,"""The effectiveness of an implementation intentions intervention for fruit and vegetable consumption as moderated by self-schema status""",Appetite,USA,1,Pennsylvania; Pennsylvania
93,https://doi.org/10.1016/j.appet.2015.07.007,"(Kenzierski et al., 2015b)",2015,"""The effectiveness of an implementation intentions intervention for fruit and vegetable consumption as moderated by self-schema status""",Appetite,USA,1,Pennsylvania
92,https://doi.org/10.1016/j.jeem.2018.06.005,"(Kurz, 2018)",2018,"""Nudging to reduce meat consumption: Immediate and persistent effects of an intervention at a university restaurant""",Journal of Environmental Economics and Management,Sweden,1,NA
91,https://doi.org/10.1016/j.jneb.2020.08.009,"(Bhurosy et al., 2020)",2020,"""A Randomized mHealth Trial to Promote Vegetable Intake Through Counting and Goal Setting""",Journal of Nutrition Education and Behavior,USA,1,Indiana
90,https://doi.org/10.1186/s12889-018-6063-8,"(Walmsley et al., 2018)",2018,"""Choice architecture modifies fruit and vegetable purchasing in a university campus grocery store: time series modelling of a natural experiment""",BMC Public Health,UK,1,NA
89,https://doi.org/10.4278/ajhp.091214-quan-389,"(Brown et al., 2011)",2011,"""Increased self-efficacy for vegetable preparation following an online, skill-based intervention and in-class tasting experience as a part of a general education college nutrition course""",American Journal of Health Promotion,USA,1,Utah
88,https://doi.org/10.1017/s000711450930389x,"(Lachat et al., 2009)",2009,"""Availability of free fruits and vegetables at canteen lunch improves lunch and daily nutritional profiles: a randomised controlled trial""",Birtish Journal of Nutrition,Belgium,1,NA
87,https://doi.org/10.2196/jmir.6537,"(Meng et al., 2017)",2017,"""Online Self-Tracking Groups to Increase Fruit and Vegetable Intake: A Small-Scale Study on Mechanisms of Group Effect on Behavior Change""",Journal of Medical Internet Research,USA,1,Michigan
86,https://doi.org/10.1177/11786388231159192,"(Moore et al., 2023)",2023,"""A Teaching Kitchen Program Improves Employee Micronutrient and Healthy Dietary Consumption""",Nutrition and Metabolic Insights,USA,1,Atlanta
85,https://doi.org/10.1080/08870446.2015.1054827,"(Godinho et al., 2015)",2015,"""Health messages to promote fruit and vegetable consumption at different stages: A match-mismatch design""",Psychology and Health,Portugal,3,NA
84,https://doi.org/10.3390/nu15183873,"(Franchini et al., 2023)",2023,"""Increasing the Consumption of Environmentally Friendly Foods in a University Dining Hall Using Menu Item Placement""",Nutrients,USA,1,California
